Package,Version
abind,1.4-5
appdemo,0.4
assertthat,0.1
audio,0.1-5
aws.s3,0.1.30
aws.signature,0.2.5
base64enc,0.1-3
BH,1.60.0-2
bitops,1.0-6
brew,1.0-6
Cairo,1.5-9
chron,2.3-47
colorspace,1.2-7
curl,2.1
data.table,1.9.6
data.tree,0.4.0
DBI,0.5-1
deldir,0.1-12
devtools,1.12.0
DiagrammeR,0.8.4
dichromat,2.0-0
digest,0.6.10
DOM,0.2
doParallel,1.0.10
dplyr,0.5.0
epitools,0.5-7
evaluate,0.1
fftw,1.0-3
foreach,1.4.3
formatR,1.4
gdtools,0.0.7
ggplot2,2.1.0
git2r,0.15.0
goftest,1.0-3
gridBase,0.4-7
gridExtra,2.2.1
gsw,1.0-3
gtable,0.2.0
highr,0.6
htmltools,0.3.5
htmlwidgets,0.7
httpuv,1.3.3
httr,1.2.1
igraph,1.0.1
ineq,0.2-13
influenceR,0.1.0
irlba,2.1.2
iterators,1.0.8
jsonlite,1.1
knitr,1.14
labeling,0.3
lazyeval,0.2.0
lubridate,1.6.0
magrittr,1.5
maptools,0.8-39
markdown,0.7.7
memoise,1.0.0
mime,0.5
miniUI,0.1.1
munsell,0.4.3
NMF,0.20.6
numDeriv,2016.8-1
oce,0.9-19
opencpu,1.6.5
openssl,0.9.4
permute,0.9-4
pkgmaker,0.22
plyr,1.8.4
polyclip,1.5-6
pracma,1.9.5
protolite,1.5
quadprog,1.5-5
R6,2.2.0
RColorBrewer,1.1-2
Rcpp,0.12.7
RCurl,1.95-4.8
registry,0.3
reshape2,1.4.1
rgdal,1.1-10
rgeos,0.3-20
RImageJROI,0.1.1
RJSONIO,1.3-0
rlist,0.4.6.1
rngtools,1.2.4
roxygen2,5.0.1.9000
rstudioapi,0.6
sas7bdat,0.5
scales,0.4.0
seewave,2.0.4
shiny,0.14.1
shinyBS,0.61
shinydashboard,0.5.3
shinyFiles,0.6.2
shinyjs,0.7
shinyStore,0.1.0
shinyTree,0.2.2
signal,0.7-6
sound,1.4.4
soundecology,1.3.2
sourcetools,0.1.5
sp,1.2-3
spatstat,1.46-1
stringi,1.1.2
stringr,1.1.0
svglite,1.1.0
tensor,1.5
tibble,1.2
tuneR,1.3.0
V8,1.1
vegan,2.4-1
visNetwork,1.0.2
whisker,0.3-2
withr,1.0.2
XML,3.98-1.4
xml2,1.0.0.9001
xtable,1.8-2
xts,0.9-7
yaml,2.1.13
zoo,1.7-13